binding_state_reason_code,exercise_id,fitt_binding_state_code,goal_binding_state_code,production_eligible,record_type,safety_binding_state_code,stable_code
EXISTING_REBASED_REFERENCE,REX-000080,AVAILABLE,AVAILABLE,False,REPRESENTATIVE,AVAILABLE,seated_calf_raise_isolation_barbell
EXISTING_REBASED_REFERENCE,REX-000081,AVAILABLE,AVAILABLE,False,REPRESENTATIVE,AVAILABLE,seated_calf_stretch_mobility_stretch_bodyweight
EXISTING_REBASED_REFERENCE,REX-000082,AVAILABLE,AVAILABLE,False,REPRESENTATIVE,AVAILABLE,seated_glute_stretch_mobility_stretch_bodyweight
EXISTING_REBASED_REFERENCE,REX-000083,AVAILABLE,AVAILABLE,False,REPRESENTATIVE,AVAILABLE,seated_leg_curl_knee_flexion_machine
EXISTING_REBASED_REFERENCE,REX-000084,AVAILABLE,AVAILABLE,False,REPRESENTATIVE,AVAILABLE,seated_lower_back_stretch_mobility_stretch_bodyweight
EXISTING_REBASED_REFERENCE,REX-000085,AVAILABLE,AVAILABLE,False,REPRESENTATIVE,AVAILABLE,seated_piriformis_stretch_mobility_stretch_bodyweight
EXISTING_REBASED_REFERENCE,REX-000087,AVAILABLE,AVAILABLE,False,REPRESENTATIVE,AVAILABLE,seated_wide_angle_stretch_mobility_stretch_bodyweight
EXISTING_REBASED_REFERENCE,REX-000088,AVAILABLE,AVAILABLE,False,REPRESENTATIVE,AVAILABLE,side_lying_quadriceps_stretch_mobility_stretch_bodyweight
EXISTING_REBASED_REFERENCE,REX-000089,AVAILABLE,AVAILABLE,False,REPRESENTATIVE,AVAILABLE,side_wrist_pull_stretch_mobility_stretch_bodyweight
EXISTING_REBASED_REFERENCE,REX-000091,AVAILABLE,AVAILABLE,False,REPRESENTATIVE,AVAILABLE,spine_stretch_mobility_stretch_bodyweight
EXISTING_REBASED_REFERENCE,REX-000094,AVAILABLE,AVAILABLE,False,REPRESENTATIVE,AVAILABLE,standing_hamstring_calf_strap_stretch_mobility_stretch_stretch_strap
EXISTING_REBASED_REFERENCE,REX-000095,AVAILABLE,AVAILABLE,False,REPRESENTATIVE,AVAILABLE,standing_lateral_stretch_mobility_stretch_bodyweight
EXISTING_REBASED_REFERENCE,REX-000096,AVAILABLE,AVAILABLE,False,REPRESENTATIVE,AVAILABLE,triceps_stretch_mobility_stretch_bodyweight
EXISTING_REBASED_REFERENCE,REX-000097,AVAILABLE,AVAILABLE,False,REPRESENTATIVE,AVAILABLE,upper_back_isolation_isolation_resistance_band
EXISTING_REBASED_REFERENCE,REX-000098,AVAILABLE,AVAILABLE,False,REPRESENTATIVE,AVAILABLE,upper_back_stretch_mobility_stretch_bodyweight
EXISTING_REBASED_REFERENCE,REX-000099,AVAILABLE,AVAILABLE,False,REPRESENTATIVE,AVAILABLE,wall_calf_stretch_mobility_stretch_bodyweight
EXISTING_REBASED_REFERENCE,REX-000100,AVAILABLE,AVAILABLE,False,REPRESENTATIVE,AVAILABLE,world_greatest_stretch_mobility_stretch_bodyweight
EXISTING_REBASED_REFERENCE,REX-000101,AVAILABLE,AVAILABLE,False,REPRESENTATIVE,AVAILABLE,wrist_circles_mobility_stretch_bodyweight
EXISTING_REBASED_REFERENCE,REX-000102,AVAILABLE,AVAILABLE,False,REPRESENTATIVE,AVAILABLE,wrist_curl_isolation_barbell
INDEPENDENT_SOURCE_DATA_MATERIALIZED,REX-000109,AVAILABLE,AVAILABLE,False,SEPARATE_EXERCISE,AVAILABLE,dumbbell_lateral_to_front_raise_isolation_dumbbell
INDEPENDENT_SOURCE_DATA_MATERIALIZED,REX-000119,AVAILABLE,AVAILABLE,False,SEPARATE_EXERCISE,AVAILABLE,smith_reverse_calf_raises_isolation_machine
INDEPENDENT_SOURCE_DATA_MATERIALIZED,REX-000124,AVAILABLE,AVAILABLE,False,SEPARATE_EXERCISE,AVAILABLE,band_two_legs_calf_raise_band_under_both_legs_v_2_isolation_resistance_band
INDEPENDENT_SOURCE_DATA_MATERIALIZED,REX-000125,AVAILABLE,AVAILABLE,False,SEPARATE_EXERCISE,AVAILABLE,one_leg_donkey_calf_raise_isolation_bodyweight
INDEPENDENT_SOURCE_DATA_MATERIALIZED,VEX-000004,AVAILABLE,AVAILABLE,False,VARIANT,AVAILABLE,dumbbell_front_raise_v_2_isolation_dumbbell
INDEPENDENT_SOURCE_DATA_MATERIALIZED,VEX-000005,AVAILABLE,AVAILABLE,False,VARIANT,AVAILABLE,dumbbell_front_raise_isolation_dumbbell
INDEPENDENT_SOURCE_DATA_MATERIALIZED,VEX-000006,AVAILABLE,AVAILABLE,False,VARIANT,AVAILABLE,dumbbell_seated_alternate_front_raise_isolation_dumbbell
